_id,identifcation,locationName,latitude,longitude
1,jp.sendai.Blesensor.per3600.1,ハピナ名掛丁商店街・東,38.261976,140.880226
2,jp.sendai.Blesensor.per3600.2,ハピナ名掛丁商店街・西,38.261807,140.879037
3,jp.sendai.Blesensor.per3600.3,クリスロード商店街・中央,38.261282,140.876218
4,jp.sendai.Blesensor.per3600.4,クリスロード商店街・西,38.261061,140.875027
5,jp.sendai.Blesensor.per3600.5,マーブルロードおおまち商店街・東,38.26091,140.874275
6,jp.sendai.Blesensor.per3600.6,マーブルロードおおまち商店街・西,38.260505,140.872103
7,jp.sendai.Blesensor.per3600.7,サンモール一番町商店街・南,38.258283,140.872776
8,jp.sendai.Blesensor.per3600.8,サンモール一番町商店街・中央,38.259262,140.87243
9,jp.sendai.Blesensor.per3600.9,ぶらんど～む一番町商店街・南,38.260705,140.87195
10,jp.sendai.Blesensor.per3600.10,ぶらんど～む一番町商店街・北,38.262146,140.871479
11,jp.sendai.Blesensor.per3600.11,一番町四丁目商店街・南,38.263346,140.871109
12,jp.sendai.Blesensor.per3600.12,一番町四丁目商店街・中央,38.263984,140.870905
13,jp.sendai.Blesensor.per3600.13,一番町四丁目商店街・北,38.265037,140.87058
14,jp.sendai.Blesensor.per3600.14,定禅寺通・夏の思い出像,38.265826,140.869598
15,jp.sendai.Blesensor.per3600.15,定禅寺通・県民会館前,38.265496,140.867825
16,jp.sendai.Blesensor.per3600.16,定禅寺通・春日町交差点西側,38.265229,140.866541
17,jp.sendai.Blesensor.per3600.17,定禅寺通・水浴の女像,38.264871,140.864631
18,jp.sendai.Blesensor.per3600.18,西公園SL広場,38.264498,140.863027
19,jp.sendai.Blesensor.per3600.19,仙台市役所本庁舎敷地・南東,38.267451,140.870205
20,jp.sendai.Blesensor.per3600.20,仙台市役所本庁舎敷地・南,38.2673584,140.86966
21,jp.sendai.Blesensor.per3600.21,勾当台公園市民広場,38.266856,140.870365
22,jp.sendai.Blesensor.per3600.22,勾当台公園円形広場,38.266507,140.870839
23,jp.sendai.Blesensor.per3600.23,つなぎ横丁,38.266515,140.870092
24,jp.sendai.Blesensor.per3600.24,勾当台公園いこいのゾーン・南西,38.266594,140.871684
25,jp.sendai.Blesensor.per3600.25,勾当台公園いこいのゾーン・中央,38.267015,140.872178
26,jp.sendai.Blesensor.per3600.26,勾当台公園いこいのゾーン・北西,38.267444,140.871512
27,jp.sendai.Blesensor.per3600.27,勾当台公園いこいのゾーン・北東,38.267508,140.871802
28,jp.sendai.Blesensor.per3600.28,勾当台公園歴史のゾーン・北,38.268649,140.870504
